category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
"Qualitativo","Replayability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida colapsada pelo WFC.","Diversidade topologica do lote: 100%.","WFC costuma variar bem em padroes locais; diversidade topologica depende do tileset."
"Qualitativo","Debuggability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida colapsada pelo WFC.","WFC e deterministico por seed, mas contradicoes e propagacao de entropia tornam a depuracao menos direta que BSP/Room Graph.","Mais dificil de depurar que BSP/Room Graph, pois erros aparecem como contradicoes de restricao."
"Qualitativo","Flow","media 1.267/5 (min 1, max 2)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida colapsada pelo WFC.","Diversidade topologica do lote: 100%.","Fluxo global nao e garantido por restricoes locais; precisa ser medido apos o colapso."
"Qualitativo","Legibility","media 3/5 (min 3, max 3)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida colapsada pelo WFC.","A legibilidade depende muito do conjunto de tiles e das restricoes locais usadas.","Boa legibilidade exige tileset com padroes claros; ruido local pode reduzir leitura espacial."
"Qualitativo","StructuralVariety","media 3/5 (min 3, max 3)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida colapsada pelo WFC.","Diversidade topologica do lote: 100%.","Ponto forte potencial do WFC, principalmente na variedade local de tiles."
"Performance","layoutGenerationMilliseconds","media 63.71 (min 57.245, max 83.893)","ms","Medido","Tempo para colapsar o volume WFC, propagar restricoes e extrair componentes.","Resumo de 30 execucoes.","Inclui colapso, propagacao e extracao de componentes; comparar separado da instanciacao Unity."
"Performance","geometryInstantiationMilliseconds","media 131.137 (min 123.053, max 156.231)","ms","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Resumo de 30 execucoes.","Custo visual depende dos prefabs/Unity, nao do WFC puro."
"Performance","metricsCalculationMilliseconds","media 0.773 (min 0.628, max 0.94)","ms","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Resumo de 30 execucoes.","Custo da instrumentacao, nao do algoritmo."
"Performance","totalGenerationMilliseconds","media 195.624 (min 183.814, max 226.393)","ms","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Resumo de 30 execucoes.","Inclui layout, instanciacao visual e metricas; use junto com o tempo logico."
"Performance","generatedGameObjectCount","media 12407.7 (min 12141, max 12578)","contagem","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Resumo de 30 execucoes.","Reflete peso da montagem visual dos tiles colapsados."
"Performance","occupiedCellCount","media 7917.9 (min 7800, max 7999)","contagem","Medido","Parametro medido sobre a saida colapsada pelo WFC.","Resumo de 30 execucoes.","Proxy do volume ocupado pelo colapso."
"Performance","connectionCount","media 5.7 (min 1, max 14)","contagem","Medido","Quantidade de conexoes inferidas a partir de componentes de corredor.","Resumo de 30 execucoes.","Conexoes sao inferidas apos o colapso; nao sao primitivas nativas do WFC."
"Performance","managedMemoryDeltaKB","media 2974.133 (min -84440, max 31656)","KB","Estimado","Parametro medido sobre a saida colapsada pelo WFC.","Resumo de 30 execucoes.","Estimativa sujeita ao GC da Unity; use como indicio comparativo."
