runIndex,seed,topologyHash,category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
1,2000,"27C29434","Booleano","SupportsRandomEnemySpawns","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Spawns usam regioes escavadas; balanceamento nao e propriedade nativa do Drunkard Walk."
1,2000,"27C29434","Booleano","SupportsLootDistribution","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Loot pode ser colocado nas regioes escavadas, mas progressao por risco depende de outra camada."
1,2000,"27C29434","Booleano","SupportsTraps","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Armadilhas podem usar celulas escavadas/gargalos, mas sem semantica global nativa."
1,2000,"27C29434","Booleano","SupportsBacktrackingLoops","Nao","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Parametro atendido somente quando as conexoes emergentes formam ciclos no grafo extraido.","Loops podem aparecer por auto-interseccao, mas nao ha garantia de ciclo jogavel em toda seed."
1,2000,"27C29434","Booleano","SupportsVerticalConnectors","Sim","sim/nao","Medido","Conta execucoes em que o passeio vertical escavou celulas alinhadas entre pavimentos.","Parametro atendido apenas se o proprio caminhante puder subir/descer e produzir alinhamentos entre pavimentos.","Possivel apenas na extensao multiandar em que o proprio caminhante faz passos verticais."
1,2000,"27C29434","Booleano","SupportsMultiFloor","Sim","sim/nao","Medido","Conta execucoes com mais de um pavimento e pelo menos uma conexao vertical inferida do proprio passeio.","Parametro atendido quando existe conexao vertical inferida do passeio multiandar.","Drunkard Walk 2D puro nao e multiandar; o passeio 3D continua puro, mas deve ser relatado como extensao volumetrica."
1,2000,"27C29434","Booleano","SupportsBossArena","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Existe ao menos uma sala grande o suficiente.","Areas grandes podem surgir por stamps ou sobreposicao de passos, mas nao sao arenas semanticamente planejadas."
1,2000,"27C29434","Booleano","SeedReproducible","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","A seed reproduziu a mesma topologia.","Resultado reproduzivel quando o passeio usa a mesma seed."
1,2000,"27C29434","Booleano","RuntimeRegeneration","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Tempo registrado: 56.189 ms.","Custo cresce com tamanho do grid, quantidade de passos, caminhantes e raio de escavacao."
1,2000,"27C29434","Booleano","BudgetAwareSpawns","Sim","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Orcamentos registrados: inimigos 10, loot 6, armadilhas 4.","Orcamento e aplicado apos a geracao, sobre celulas livres extraidas."
1,2000,"27C29434","Qualitativo","Replayability","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Diversidade topologica: 100%.","Alta variacao de percurso entre seeds e esperada."
1,2000,"27C29434","Qualitativo","Debuggability","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Drunkard Walk e reproduzivel e simples de depurar, pois o caminho do caminhante explica diretamente a area escavada.","O caminho do caminhante e facil de repetir e inspecionar, mas metricas ajudam a quantificar sinuosidade e loops."
1,2000,"27C29434","Qualitativo","Flow","4/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Indica fluidez de navegacao esperada.","Fluxo tende a ser continuo, mas pode ficar sinuoso demais ou pouco ramificado."
1,2000,"27C29434","Qualitativo","Legibility","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","A legibilidade depende do equilibrio entre corredor escavado, areas abertas e excesso de sinuosidade.","Corredores escavados podem ser claros, mas excesso de curvas reduz orientacao."
1,2000,"27C29434","Qualitativo","StructuralVariety","2/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Indica variedade estrutural dentro desta execucao.","Boa variedade de trajetos; menor controle sobre categorias semanticas de sala."
1,2000,"27C29434","Performance","layoutGenerationMilliseconds","10.264","ms","Medido","Tempo para executar caminhantes, escavar celulas e extrair componentes.","Representa o custo algoritmico principal.","Inclui passeio aleatorio, escavacao e extracao de componentes."
1,2000,"27C29434","Performance","geometryInstantiationMilliseconds","44.525","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","A execucao incluiu custo visual.","Custo visual depende dos prefabs/Unity, nao do Drunkard Walk puro."
1,2000,"27C29434","Performance","metricsCalculationMilliseconds","1.397","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Ajuda a quantificar custo da instrumentacao.","Custo da instrumentacao, nao do algoritmo."
1,2000,"27C29434","Performance","totalGenerationMilliseconds","56.189","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Inclui layout, instanciacao visual habilitada e calculo de metricas.","Inclui layout, instanciacao visual e metricas; compare junto do tempo logico."
1,2000,"27C29434","Performance","generatedGameObjectCount","3076","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Indica peso potencial de instanciacao no Unity.","Reflete peso da montagem visual das celulas abertas."
1,2000,"27C29434","Performance","occupiedCellCount","2460","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Proxy de escala espacial da dungeon.","Proxy do volume escavado pelo Drunkard Walk."
1,2000,"27C29434","Performance","connectionCount","1","contagem","Medido","Quantidade de conexoes inferidas por gargalos/passagens ou passos verticais.","Proxy de complexidade topologica.","Conexoes sao inferidas apos a geracao; o algoritmo nativo e um passeio, nao um grafo explicito."
1,2000,"27C29434","Performance","managedMemoryDeltaKB","7684","KB","Estimado","Parametro medido sobre a saida do Drunkard Walk puro.","Valor aproximado, sensivel a GC e ao estado do Editor.","Estimativa sujeita ao GC da Unity; use como indicio comparativo."
2,2001,"EFE326B1","Quantitativo","numRoomsTarget","3","contagem","Medido","Extracao de componentes abertos e densos apos a escavacao dos caminhantes.","Tamanho estrutural da dungeon nesta execucao.","Drunkard Walk nao cria salas planejadas; regioes amplas aparecem quando o passeio se auto-intersecta ou recebe stamps locais."
2,2001,"EFE326B1","Quantitativo","connectivityRatio","100%","%","Medido","Busca no grafo extraido de componentes escavados; nenhuma conexao artificial e criada.","Mostra se as regioes escavadas permaneceram conectadas sem flood-fill reparador, BSP, grafo-guia ou abertura posterior de tuneis.","Com caminhantes reiniciando apenas em celulas ja escavadas, a tendencia e conectividade alta; se falhar, e limitacao da extracao ou da variante multiandar."
2,2001,"EFE326B1","Quantitativo","verticalVariance","1.886","metros","Medido","Desvio padrao das alturas dos componentes extraidos do volume escavado.","Ha variacao vertical mensuravel entre salas.","Verticalidade so aparece quando a opcao multiandar permite passos verticais do proprio caminhante."
2,2001,"EFE326B1","Quantitativo","fillPercentage","30.03%","%","Medido","Celulas escavadas pelos caminhantes divididas pelo total do volume.","Indica densidade espacial da dungeon.","Densidade e controlada por meta de preenchimento, passos maximos, raio do pincel e stamps de sala."
2,2001,"EFE326B1","Quantitativo","branchFactor","1.333","media","Medido","Media de conexoes entre componentes extraidos por passagens estreitas geradas pelo passeio.","Layout mais linear, com poucas bifurcacoes.","Ramificacao emerge de reinicios em celulas ja escavadas e mudancas de direcao, nao de um grafo explicito."
2,2001,"EFE326B1","Quantitativo","avgPathLength","26.484","metros","Medido","Distancias no grafo extraido do resultado do passeio aleatorio.","Distancia media a partir da sala inicial.","Caminhos sao medidos depois da extracao; o passeio nao escolhe objetivo final semanticamente."
2,2001,"EFE326B1","Quantitativo","uniqueModules","21","contagem","Medido","Contagem de categorias logicas e prefabs usados na leitura/instanciacao do resultado.","Indica variedade basica de composicao.","O algoritmo varia forma do caminho; variedade modular depende da biblioteca e da camada de instanciacao."
2,2001,"EFE326B1","Quantitativo","navigableVolumeRatio","100%","%","Estimado sem NavMesh","Estimativa logica de celulas abertas antes de NavMesh.","Use como estimativa inicial, nao como validacao fisica final.","Proxy logico; deve ser confirmado com NavMesh/colisao em uma validacao fisica."
2,2001,"EFE326B1","Quantitativo","criticalPathLength","36.802","metros","Medido","Maior distancia no grafo extraido a partir do componente inicial.","Aproxima o percurso principal inicio-objetivo.","Pode gerar caminho longo por caminhada sinuosa, mas nao controla pacing ou progressao de missao sozinho."
2,2001,"EFE326B1","Quantitativo","avgAlternativePathLength","0","metros","Medido","Media de conexoes marcadas como ciclos emergentes entre componentes.","Nao houve caminho alternativo nesta execucao.","Loops podem emergir por auto-interseccao do passeio, mas nao sao garantidos por planejamento global."
2,2001,"EFE326B1","Booleano","SupportsRandomEnemySpawns","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Spawns usam regioes escavadas; balanceamento nao e propriedade nativa do Drunkard Walk."
2,2001,"EFE326B1","Booleano","SupportsLootDistribution","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Loot pode ser colocado nas regioes escavadas, mas progressao por risco depende de outra camada."
2,2001,"EFE326B1","Booleano","SupportsTraps","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Armadilhas podem usar celulas escavadas/gargalos, mas sem semantica global nativa."
2,2001,"EFE326B1","Booleano","SupportsBacktrackingLoops","Nao","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Parametro atendido somente quando as conexoes emergentes formam ciclos no grafo extraido.","Loops podem aparecer por auto-interseccao, mas nao ha garantia de ciclo jogavel em toda seed."
2,2001,"EFE326B1","Booleano","SupportsVerticalConnectors","Sim","sim/nao","Medido","Conta execucoes em que o passeio vertical escavou celulas alinhadas entre pavimentos.","Parametro atendido apenas se o proprio caminhante puder subir/descer e produzir alinhamentos entre pavimentos.","Possivel apenas na extensao multiandar em que o proprio caminhante faz passos verticais."
2,2001,"EFE326B1","Booleano","SupportsMultiFloor","Sim","sim/nao","Medido","Conta execucoes com mais de um pavimento e pelo menos uma conexao vertical inferida do proprio passeio.","Parametro atendido quando existe conexao vertical inferida do passeio multiandar.","Drunkard Walk 2D puro nao e multiandar; o passeio 3D continua puro, mas deve ser relatado como extensao volumetrica."
2,2001,"EFE326B1","Booleano","SupportsBossArena","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Existe ao menos uma sala grande o suficiente.","Areas grandes podem surgir por stamps ou sobreposicao de passos, mas nao sao arenas semanticamente planejadas."
2,2001,"EFE326B1","Booleano","SeedReproducible","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","A seed reproduziu a mesma topologia.","Resultado reproduzivel quando o passeio usa a mesma seed."
2,2001,"EFE326B1","Booleano","RuntimeRegeneration","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Tempo registrado: 95.727 ms.","Custo cresce com tamanho do grid, quantidade de passos, caminhantes e raio de escavacao."
2,2001,"EFE326B1","Booleano","BudgetAwareSpawns","Sim","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Orcamentos registrados: inimigos 10, loot 6, armadilhas 4.","Orcamento e aplicado apos a geracao, sobre celulas livres extraidas."
2,2001,"EFE326B1","Qualitativo","Replayability","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Diversidade topologica: 100%.","Alta variacao de percurso entre seeds e esperada."
2,2001,"EFE326B1","Qualitativo","Debuggability","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Drunkard Walk e reproduzivel e simples de depurar, pois o caminho do caminhante explica diretamente a area escavada.","O caminho do caminhante e facil de repetir e inspecionar, mas metricas ajudam a quantificar sinuosidade e loops."
2,2001,"EFE326B1","Qualitativo","Flow","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Indica fluidez de navegacao esperada.","Fluxo tende a ser continuo, mas pode ficar sinuoso demais ou pouco ramificado."
2,2001,"EFE326B1","Qualitativo","Legibility","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","A legibilidade depende do equilibrio entre corredor escavado, areas abertas e excesso de sinuosidade.","Corredores escavados podem ser claros, mas excesso de curvas reduz orientacao."
2,2001,"EFE326B1","Qualitativo","StructuralVariety","2/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Indica variedade estrutural dentro desta execucao.","Boa variedade de trajetos; menor controle sobre categorias semanticas de sala."
2,2001,"EFE326B1","Performance","layoutGenerationMilliseconds","18.299","ms","Medido","Tempo para executar caminhantes, escavar celulas e extrair componentes.","Representa o custo algoritmico principal.","Inclui passeio aleatorio, escavacao e extracao de componentes."
2,2001,"EFE326B1","Performance","geometryInstantiationMilliseconds","71.546","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","A execucao incluiu custo visual.","Custo visual depende dos prefabs/Unity, nao do Drunkard Walk puro."
2,2001,"EFE326B1","Performance","metricsCalculationMilliseconds","5.879","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Ajuda a quantificar custo da instrumentacao.","Custo da instrumentacao, nao do algoritmo."
2,2001,"EFE326B1","Performance","totalGenerationMilliseconds","95.727","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Inclui layout, instanciacao visual habilitada e calculo de metricas.","Inclui layout, instanciacao visual e metricas; compare junto do tempo logico."
2,2001,"EFE326B1","Performance","generatedGameObjectCount","3261","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Indica peso potencial de instanciacao no Unity.","Reflete peso da montagem visual das celulas abertas."
2,2001,"EFE326B1","Performance","occupiedCellCount","2460","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Proxy de escala espacial da dungeon.","Proxy do volume escavado pelo Drunkard Walk."
2,2001,"EFE326B1","Performance","connectionCount","2","contagem","Medido","Quantidade de conexoes inferidas por gargalos/passagens ou passos verticais.","Proxy de complexidade topologica.","Conexoes sao inferidas apos a geracao; o algoritmo nativo e um passeio, nao um grafo explicito."
2,2001,"EFE326B1","Performance","managedMemoryDeltaKB","7720","KB","Estimado","Parametro medido sobre a saida do Drunkard Walk puro.","Valor aproximado, sensivel a GC e ao estado do Editor.","Estimativa sujeita ao GC da Unity; use como indicio comparativo."
3,2002,"0F2BCA01","Quantitativo","numRoomsTarget","2","contagem","Medido","Extracao de componentes abertos e densos apos a escavacao dos caminhantes.","Tamanho estrutural da dungeon nesta execucao.","Drunkard Walk nao cria salas planejadas; regioes amplas aparecem quando o passeio se auto-intersecta ou recebe stamps locais."
3,2002,"0F2BCA01","Quantitativo","connectivityRatio","100%","%","Medido","Busca no grafo extraido de componentes escavados; nenhuma conexao artificial e criada.","Mostra se as regioes escavadas permaneceram conectadas sem flood-fill reparador, BSP, grafo-guia ou abertura posterior de tuneis.","Com caminhantes reiniciando apenas em celulas ja escavadas, a tendencia e conectividade alta; se falhar, e limitacao da extracao ou da variante multiandar."
3,2002,"0F2BCA01","Quantitativo","verticalVariance","2","metros","Medido","Desvio padrao das alturas dos componentes extraidos do volume escavado.","Ha variacao vertical mensuravel entre salas.","Verticalidade so aparece quando a opcao multiandar permite passos verticais do proprio caminhante."
3,2002,"0F2BCA01","Quantitativo","fillPercentage","30.08%","%","Medido","Celulas escavadas pelos caminhantes divididas pelo total do volume.","Indica densidade espacial da dungeon.","Densidade e controlada por meta de preenchimento, passos maximos, raio do pincel e stamps de sala."
3,2002,"0F2BCA01","Quantitativo","branchFactor","1","media","Medido","Media de conexoes entre componentes extraidos por passagens estreitas geradas pelo passeio.","Layout mais linear, com poucas bifurcacoes.","Ramificacao emerge de reinicios em celulas ja escavadas e mudancas de direcao, nao de um grafo explicito."
3,2002,"0F2BCA01","Quantitativo","avgPathLength","12.944","metros","Medido","Distancias no grafo extraido do resultado do passeio aleatorio.","Distancia media a partir da sala inicial.","Caminhos sao medidos depois da extracao; o passeio nao escolhe objetivo final semanticamente."
3,2002,"0F2BCA01","Quantitativo","uniqueModules","18","contagem","Medido","Contagem de categorias logicas e prefabs usados na leitura/instanciacao do resultado.","Indica variedade basica de composicao.","O algoritmo varia forma do caminho; variedade modular depende da biblioteca e da camada de instanciacao."
3,2002,"0F2BCA01","Quantitativo","navigableVolumeRatio","100%","%","Estimado sem NavMesh","Estimativa logica de celulas abertas antes de NavMesh.","Use como estimativa inicial, nao como validacao fisica final.","Proxy logico; deve ser confirmado com NavMesh/colisao em uma validacao fisica."
3,2002,"0F2BCA01","Quantitativo","criticalPathLength","12.944","metros","Medido","Maior distancia no grafo extraido a partir do componente inicial.","Aproxima o percurso principal inicio-objetivo.","Pode gerar caminho longo por caminhada sinuosa, mas nao controla pacing ou progressao de missao sozinho."
3,2002,"0F2BCA01","Quantitativo","avgAlternativePathLength","0","metros","Medido","Media de conexoes marcadas como ciclos emergentes entre componentes.","Nao houve caminho alternativo nesta execucao.","Loops podem emergir por auto-interseccao do passeio, mas nao sao garantidos por planejamento global."
3,2002,"0F2BCA01","Booleano","SupportsRandomEnemySpawns","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Spawns usam regioes escavadas; balanceamento nao e propriedade nativa do Drunkard Walk."
3,2002,"0F2BCA01","Booleano","SupportsLootDistribution","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Loot pode ser colocado nas regioes escavadas, mas progressao por risco depende de outra camada."
3,2002,"0F2BCA01","Booleano","SupportsTraps","Sim, testado","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Sistema configurado e com orcamento ativo.","Armadilhas podem usar celulas escavadas/gargalos, mas sem semantica global nativa."
3,2002,"0F2BCA01","Booleano","SupportsBacktrackingLoops","Nao","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Parametro atendido somente quando as conexoes emergentes formam ciclos no grafo extraido.","Loops podem aparecer por auto-interseccao, mas nao ha garantia de ciclo jogavel em toda seed."
3,2002,"0F2BCA01","Booleano","SupportsVerticalConnectors","Sim","sim/nao","Medido","Conta execucoes em que o passeio vertical escavou celulas alinhadas entre pavimentos.","Parametro atendido apenas se o proprio caminhante puder subir/descer e produzir alinhamentos entre pavimentos.","Possivel apenas na extensao multiandar em que o proprio caminhante faz passos verticais."
3,2002,"0F2BCA01","Booleano","SupportsMultiFloor","Sim","sim/nao","Medido","Conta execucoes com mais de um pavimento e pelo menos uma conexao vertical inferida do proprio passeio.","Parametro atendido quando existe conexao vertical inferida do passeio multiandar.","Drunkard Walk 2D puro nao e multiandar; o passeio 3D continua puro, mas deve ser relatado como extensao volumetrica."
3,2002,"0F2BCA01","Booleano","SupportsBossArena","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Existe ao menos uma sala grande o suficiente.","Areas grandes podem surgir por stamps ou sobreposicao de passos, mas nao sao arenas semanticamente planejadas."
3,2002,"0F2BCA01","Booleano","SeedReproducible","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","A seed reproduziu a mesma topologia.","Resultado reproduzivel quando o passeio usa a mesma seed."
3,2002,"0F2BCA01","Booleano","RuntimeRegeneration","Sim","sim/nao","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Tempo registrado: 86.064 ms.","Custo cresce com tamanho do grid, quantidade de passos, caminhantes e raio de escavacao."
3,2002,"0F2BCA01","Booleano","BudgetAwareSpawns","Sim","sim/nao","Suportado","Parametro medido sobre a saida do Drunkard Walk puro.","Orcamentos registrados: inimigos 10, loot 6, armadilhas 4.","Orcamento e aplicado apos a geracao, sobre celulas livres extraidas."
3,2002,"0F2BCA01","Qualitativo","Replayability","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Diversidade topologica: 100%.","Alta variacao de percurso entre seeds e esperada."
3,2002,"0F2BCA01","Qualitativo","Debuggability","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Drunkard Walk e reproduzivel e simples de depurar, pois o caminho do caminhante explica diretamente a area escavada.","O caminho do caminhante e facil de repetir e inspecionar, mas metricas ajudam a quantificar sinuosidade e loops."
3,2002,"0F2BCA01","Qualitativo","Flow","4/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Indica fluidez de navegacao esperada.","Fluxo tende a ser continuo, mas pode ficar sinuoso demais ou pouco ramificado."
3,2002,"0F2BCA01","Qualitativo","Legibility","5/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","A legibilidade depende do equilibrio entre corredor escavado, areas abertas e excesso de sinuosidade.","Corredores escavados podem ser claros, mas excesso de curvas reduz orientacao."
3,2002,"0F2BCA01","Qualitativo","StructuralVariety","2/5","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Drunkard Walk puro.","Indica variedade estrutural dentro desta execucao.","Boa variedade de trajetos; menor controle sobre categorias semanticas de sala."
3,2002,"0F2BCA01","Performance","layoutGenerationMilliseconds","42.137","ms","Medido","Tempo para executar caminhantes, escavar celulas e extrair componentes.","Representa o custo algoritmico principal.","Inclui passeio aleatorio, escavacao e extracao de componentes."
3,2002,"0F2BCA01","Performance","geometryInstantiationMilliseconds","42.604","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","A execucao incluiu custo visual.","Custo visual depende dos prefabs/Unity, nao do Drunkard Walk puro."
3,2002,"0F2BCA01","Performance","metricsCalculationMilliseconds","1.32","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Ajuda a quantificar custo da instrumentacao.","Custo da instrumentacao, nao do algoritmo."
3,2002,"0F2BCA01","Performance","totalGenerationMilliseconds","86.064","ms","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Inclui layout, instanciacao visual habilitada e calculo de metricas.","Inclui layout, instanciacao visual e metricas; compare junto do tempo logico."
3,2002,"0F2BCA01","Performance","generatedGameObjectCount","3115","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Indica peso potencial de instanciacao no Unity.","Reflete peso da montagem visual das celulas abertas."
3,2002,"0F2BCA01","Performance","occupiedCellCount","2464","contagem","Medido","Parametro medido sobre a saida do Drunkard Walk puro.","Proxy de escala espacial da dungeon.","Proxy do volume escavado pelo Drunkard Walk."
3,2002,"0F2BCA01","Performance","connectionCount","1","contagem","Medido","Quantidade de conexoes inferidas por gargalos/passagens ou passos verticais.","Proxy de complexidade topologica.","Conexoes sao inferidas apos a geracao; o algoritmo nativo e um passeio, nao um grafo explicito."
3,2002,"0F2BCA01","Performance","managedMemoryDeltaKB","-100776","KB","Estimado","Parametro medido sobre a saida do Drunkard Walk puro.","Valor aproximado, sensivel a GC e ao estado do Editor.","Estimativa sujeita ao GC da Unity; use como indicio comparativo."
4,2003,"C2A886F7","Quantitativo","numRoomsTarget","3","contagem","Medido","Extracao de componentes abertos e densos apos a escavacao dos caminhantes.","Tamanho estrutural da dungeon nesta execucao.","Drunkard Walk nao cria salas planejadas; regioes amplas aparecem quando o passeio se auto-intersecta ou recebe stamps locais."
4,2003,"C2A886F7","Quantitativo","connectivityRatio","100%","%","Medido","Busca no grafo extraido de componentes escavados; nenhuma conexao artificial e criada.","Mostra se as regioes escavadas permaneceram conectadas sem flood-fill reparador, BSP, grafo-guia ou abertura posterior de tuneis.","Com caminhantes reiniciando apenas em celulas ja escavadas, a tendencia e conectividade alta; se falhar, e limitacao da extracao ou da variante multiandar."
4,2003,"C2A886F7","Quantitativo","verticalVariance","1.886","metros","Medido","Desvio padrao das alturas dos componentes extraidos do volume escavado.","Ha variacao vertical mensuravel entre salas.","Verticalidade so aparece quando a opcao multiandar permite passos verticais do proprio caminhante."
4,2003,"C2A886F7","Quantitativo","fillPercentage","30.03%","%","Medido","Celulas escavadas pelos caminhantes divididas pelo total do volume.","Indica densidade espacial da dungeon.","Densidade e controlada por meta de preenchimento, passos maximos, raio do pincel e stamps de sala."
4,2003,"C2A886F7","Quantitativo","branchFactor","1.333","media","Medido","Media de conexoes entre componentes extraidos por passagens estreitas geradas pelo passeio.","Layout mais linear, com poucas bifurcacoes.","Ramificacao emerge de reinicios em celulas ja escavadas e mudancas de direcao, nao de um grafo explicito."
4,2003,"C2A886F7","Quantitativo","avgPathLength","42.907","metros","Medido","Distancias no grafo extraido do resultado do passeio aleatorio.","Distancia media a partir da sala inicial.","Caminhos sao medidos depois da extracao; o passeio nao escolhe objetivo final semanticamente."
4,2003,"C2A886F7","Quantitativo","uniqueModules","16","contagem","Medido","Contagem de categorias logicas e prefabs usados na leitura/instanciacao do resultado.","Indica variedade basica de composicao.","O algoritmo varia forma do caminho; variedade modular depende da biblioteca e da camada de instanciacao."
